Jobtitle,Companyname,Locations,Skills
Senior Odoo Developer,Confidential -,"Cleopatra, Alexandria, Egypt ",Experienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Odoo · Programming · Software Development · Software
Certified Odoo Developer,Confidential -,"Baghdad, Iraq ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Odoo ERP · Information Technology (IT)
Senior DevOps Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Jenkins · Software Development · Kubernetes
Senior Data Analyst,Goldentex -,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI
Quality Assurance tester,Partner & More -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · QA · JIRA · Bugzilla · Quality Assurance · Cypress · Selenium · React Native · Firebase
Senior Full Stack Developer,Ibn Sina Pharma -,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · React · HTML · .Net · Node.js · CSS · JavaScript
IT system Administrator,Eduhive -,"Bolkly, Alexandria, Egypt ",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · computer · Networks · Computer Engineering · Engineering · Network
System Administrator,Danat Travels  -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software · Communication · computer · Computer Science · Databases · Help desk · Information technology
Programming Trainer (Applications & Websites),GB Corp -,"6th of October, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Training/Instructor · Instructor · Training · Oracle · Microsoft SQL Server
Full Stack Team Lead,Salem Ventures -,"Maadi, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Information Technology (IT) · JavaScript · React · Java · CSS · Software Development
